/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
102.30	2.535	-390.2	0.92	187
102.85	2.553	-396.4	-0.11	188
103.40	2.571	-392.7	0.51	189
103.95	2.589	-400.4	-0.77	190
104.50	2.607	-393.5	0.37	191
105.05	2.625	-390.6	0.85	192
105.60	2.642	-395.2	0.09	193
106.15	2.659	-396.9	-0.19	194
106.70	2.678	-399.1	-0.56	195
107.25	2.697	-396.9	-0.20	196
107.80	2.715	-401.0	-0.88	197
108.35	2.733	-387.9	1.29	198
108.90	2.750	-390.3	0.89	199
109.45	2.767	-390.8	0.81	200
110.00	2.784	-390.2	0.91	201
110.55	2.801	-395.6	0.01	202
111.10	2.818	-387.7	1.32	203
111.65	2.835	-388.9	1.12	204
112.20	2.852	-388.9	1.12	205
112.75	2.870	-395.4	0.04	206
113.30	2.888	-399.5	-0.64	207
113.85	2.906	-401.7	-1.00	208
114.40	2.924	-392.2	0.57	209
114.95	2.943	-393.9	0.29	210
115.50	2.961	-397.7	-0.34	211
116.05	2.980	-401.1	-0.91	212
116.60	3.000	-395.7	-0.01	213
117.15	3.019	-398.7	-0.51	214
117.70	3.037	-395.0	0.10	215
118.25	3.056	-394.7	0.15	216
118.80	3.074	-395.8	-0.03	217
119.35	3.092	-391.8	0.63	218
119.90	3.110   -389.4	0.95	219
120.45	3.129	-387.9	1.27	220
121.00	3.147	-404.4	-1.46	221
121.55	3.165	-401.1	-0.91	222
122.10	3.186	-403.4	-1.30	223
122.65	3.207	-391.8	0.62	224
123.20	3.227	-400.5	-0.82	225
123.75	3.247	-406.2	-1.76	226
124.30	3.267	-392.7	0.47	227
124.85	3.287	-400.0	-0.74	228
125.40	3.307	-401.9	-1.05	229
125.95	3.326	-391.3	0.70	230
126.50	3.346	-399.8	-0.71	231
127.05	3.365	-404.2	-1.44	232
127.60	3.385	-395.6	-0.01	233
128.15	3.405	-397.2	-0.28	234
128.70	3.425	-398.2	-0.44	235
129.25	3.445	-396.6	-0.18	236
129.80	3.465	-395.6	-0.02	237
130.35	3.484	-392.7	0.46	238
130.90	3.503	-401.8	-1.04	239
131.45	3.522	-387.3	1.35	240
132.00	3.541	-394.6	0.15	241
132.55	3.559	-397.2	-0.29	242
133.10	3.578	-394.5	0.16	243
133.65	3.598	-399.5	-0.67	244
134.20	3.618	-389.9	0.92	245
134.75	3.636	-390.8	0.77	246
135.30	3.654	-394.4	0.17	247
135.85	3.672	-391.7	0.62	248
136.40	3.691	-389.2	1.03	249
136.95	3.709	-401.6	-1.02	250
137.50	3.727	-387.2	1.36	251
138.05	3.746	-387.8	1.26	252
138.60	3.764	-404.9	-1.57	253
139.15	3.783	-388.9	1.07	254
139.70	3.802	-394.9	0.08	255
140.25	3.822	-393.8	0.26	256
140.80	3.842	-399.6	-0.70	257
141.35	3.861	-400.9	-0.92	258
141.90	3.881	-391.0	0.72	259
142.45	3.900	-396.1	-0.12	260
143.00	3.920	-398.5	-0.52	261
143.55	3.940	-396.5	-0.19	262
144.10	3.960	-397.8	-0.41	263
144.65	3.980	-392.9	0.40	264
145.20	3.999	-398.7	-0.56	265
145.75	4.019	-398.9	-0.59	266
146.30	4.038	-390.6	0.78	267
146.85	4.057	-390.4	0.81	268
147.40	4.076	-402.3	-1.16	269
147.95	4.095	-389.9	0.89	270
148.50	4.115	-390.3	0.82	271
149.05	4.134	-398.8	-0.59	272
149.60	4.154	-397.8	-0.42	273
150.15	4.173	-394.9	0.06	274
150.70	4.193	-392.2	0.50	275
151.25	4.212	-404.7	-1.57	276
151.80	4.231	-391.2	0.67	277
152.35	4.250	-387.3	1.31	278
152.90	4.269	-396.4	-0.20	279
153.45	4.288	-387.0	1.36	280
154.00	4.307	-398.1	-0.48	281
154.55	4.326	-401.4	-1.03	282
155.10	4.347	-395.2	0.00	283
155.65	4.367	-393.4	0.29	284
156.20	4.387	-394.9	0.04	285
156.75	4.406	-397.1	-0.32	286
157.30	4.426	-400.6	-0.90	287
157.85	4.445	-393.0	0.35	288
158.40	4.465	-387.1	1.33	289
158.95	4.484	-397.5	-0.39	290
159.50	4.503	-390.4	0.78	291
160.05	4.521	-399.3	-0.70	292
160.60	4.542	-397.5	-0.40	293
161.15	4.562	-399.9	-0.80	294
161.70	4.582	-395.0	0.01	295
162.25	4.602	-394.1	0.16	296
162.80	4.622	-393.4	0.27	297
163.35	4.642	-398.4	-0.56	298
163.90	4.661	-395.1	-0.01	299
164.45	4.681	-396.0	-0.16	300
165.00	4.701	-397.3	-0.38	301
165.55	4.721	-389.3	0.94	302
166.10	4.741	-399.6	-0.76	303
166.65	4.760	-402.3	-1.21	304
167.20	4.781	-396.7	-0.28	305
167.75	4.801	-397.2	-0.37	306
168.30	4.821	-402.0	-1.16	307
168.85	4.842	-396.9	-0.32	308
169.40	4.863	-390.9	0.67	309
169.95	4.882	-393.4	0.25	310
170.50	4.901	-395.9	-0.16	311
171.05	4.920	-395.1	-0.03	312
171.60	4.939	-392.7	0.37	313
172.15	4.958	-389.0	0.98	314
